Date,Year,Opponent,Location,Result,Score
11/14/2020,2020,Oregon,Home,Loss,29-43
9/4/2021,2021,Utah State,Home,Loss,23-26
9/11/2021,2021,Portland State,Home,Win,44-24
9/18/2021,2021,USC,Home,Loss,14-45
10/9/2021,2021,Oregon State,Home,Win,31-24
10/16/2021,2021,Stanford,Home,Win,34-31
10/23/2021,2021,Brigham Young,Home,Loss,19-21
11/19/2021,2021,Arizona,Home,Win,44-18
9/3/2022,2022,Idaho,Home,Win,24-17
9/17/2022,2022,Colorado State,Home,Win,38-7
9/24/2022,2022,Oregon,Home,Loss,41-44
10/1/2022,2022,California,Home,Win,28-9
10/27/2022,2022,Utah,Home,Loss,17-21
11/12/2022,2022,Arizona State,Home,Win,28-18
11/26/2022,2022,Washington,Home,Loss,33-51
9/9/2023,2023,Wisconsin,Home,Win,31-22
9/16/2023,2023,Northern Colorado,Home,Win,64-21
9/23/2023,2023,Oregon State,Home,Win,38-35
10/14/2023,2023,Arizona,Home,Loss,Jun-44
11/4/2023,2023,Stanford,Home,Loss,10-Jul
11/17/2023,2023,Colorado,Home,Win,56-14
8/31/2024,2024,Portland State,Home,Win,70-30
9/7/2024,2024,Texas Tech,Home,Win,37-16
9/20/2024,2024,San José State,Home,Win,54-52
10/19/2024,2024,Hawai'i,Home,Win,42-10
11/9/2024,2024,Utah State,Home,Win,49-28
11/30/2024,2024,Wyoming,Home,Loss,14-15
8/30/2025,2025,Idaho,Home,Win,13-10
9/6/2025,2025,San Diego State,Home,Win,36-13
9/20/2025,2025,Washington,Home,Loss,24-59
10/25/2025,2025,Toledo,Home,Win,28-7
