date,temp_max_f,temp_min_f,temp_mean_f,precipitation_inches,precipitation_hours,snowfall_inches,snow_depth_inches,wind_max_mph,weather_code,weather_category,is_rainy,is_snowy,is_cold,is_hot,is_windy,temp_range_f,is_severe
2020-01-01,45.1,37.1,41.9,0.165,8.0,0.0,0.066,23.2,55,Drizzle,1,0,0,0,1,8.0,0
2020-01-02,39.1,34.3,36.6,0.169,11.0,0.606,0.033,17.2,73,Snow,1,1,0,0,0,4.800000000000004,0
2020-01-03,50.0,37.0,43.7,0.004,1.0,0.0,0.033,18.8,51,Drizzle,0,0,0,0,0,13.0,0
2020-01-04,47.7,32.1,39.3,0.043,6.0,0.0,0.0,23.4,51,Drizzle,0,0,0,0,1,15.600000000000001,0
2020-01-05,40.7,32.7,35.3,0.067,3.0,0.469,0.033,18.1,73,Snow,0,1,0,0,0,8.0,0
2020-01-06,47.7,33.4,39.1,0.331,14.0,1.433,0.098,21.5,75,Snow,1,1,0,0,1,14.300000000000004,0
2020-01-07,46.5,40.6,42.8,0.11,10.0,0.0,0.033,17.4,53,Drizzle,1,0,0,0,0,5.899999999999999,0
2020-01-08,41.1,31.1,36.4,0.232,22.0,0.854,0.066,18.0,73,Snow,1,1,0,0,0,10.0,0
2020-01-09,32.6,23.3,28.3,0.031,4.0,0.22,0.098,14.1,73,Snow,0,1,1,0,0,9.3,0
2020-01-10,34.1,24.1,29.1,0.354,11.0,2.508,0.262,17.9,75,Snow,1,1,1,0,0,10.0,1
2020-01-11,34.6,31.3,32.9,0.394,18.0,2.673,0.394,20.0,75,Snow,1,1,0,0,0,3.3000000000000007,1
2020-01-12,33.6,26.6,31.7,0.433,23.0,3.031,0.591,18.8,75,Snow,1,1,1,0,0,7.0,1
2020-01-13,27.2,21.4,24.2,0.217,12.0,1.516,0.689,14.0,73,Snow,1,1,1,0,0,5.800000000000001,0
2020-01-14,25.9,14.7,19.0,0.126,17.0,0.854,0.82,15.7,73,Snow,1,1,1,0,0,11.2,0
2020-01-15,30.0,15.0,21.8,0.047,7.0,0.331,0.82,21.1,73,Snow,0,1,1,0,1,15.0,0
2020-01-16,35.8,26.5,31.1,0.181,11.0,1.268,0.886,21.1,73,Snow,1,1,1,0,1,9.299999999999997,0
2020-01-17,27.0,18.1,24.2,0.012,1.0,0.083,0.886,11.2,73,Snow,0,0,1,0,0,8.899999999999999,0
2020-01-18,35.2,24.1,30.4,0.063,10.0,0.303,0.886,14.8,73,Snow,0,1,1,0,0,11.100000000000001,0
2020-01-19,36.6,32.5,34.5,0.0,0.0,0.0,0.886,17.7,3,Cloudy,0,0,0,0,0,4.100000000000001,0
2020-01-20,38.9,32.8,36.6,0.0,0.0,0.0,0.886,16.5,3,Cloudy,0,0,0,0,0,6.100000000000001,0
