datetime,temperature_f,precipitation_inches,snowfall_inches,snow_depth_inches,wind_mph,weather_code,date,hour,year
2022-01-01 00:00:00,-1.4,0.0,0.0,1.411,6.5,2,2022-01-01,0,2022
2022-01-01 01:00:00,-0.6,0.0,0.0,1.411,8.4,0,2022-01-01,1,2022
2022-01-01 02:00:00,-1.2,0.0,0.0,1.411,8.3,0,2022-01-01,2,2022
2022-01-01 03:00:00,-1.6,0.0,0.0,1.411,9.4,0,2022-01-01,3,2022
2022-01-01 04:00:00,-2.0,0.0,0.0,1.411,10.7,0,2022-01-01,4,2022
2022-01-01 05:00:00,-1.8,0.0,0.0,1.411,12.1,2,2022-01-01,5,2022
2022-01-01 06:00:00,0.3,0.0,0.0,1.411,13.2,0,2022-01-01,6,2022
2022-01-01 07:00:00,1.7,0.0,0.0,1.411,13.6,1,2022-01-01,7,2022
2022-01-01 08:00:00,1.7,0.0,0.0,1.411,14.0,0,2022-01-01,8,2022
2022-01-01 09:00:00,3.2,0.0,0.0,1.411,14.1,3,2022-01-01,9,2022
2022-01-01 10:00:00,5.7,0.0,0.0,1.411,13.9,3,2022-01-01,10,2022
2022-01-01 11:00:00,8.0,0.0,0.0,1.411,14.3,2,2022-01-01,11,2022
2022-01-01 12:00:00,8.8,0.0,0.0,1.411,14.1,1,2022-01-01,12,2022
2022-01-01 13:00:00,9.6,0.0,0.0,1.411,14.0,1,2022-01-01,13,2022
2022-01-01 14:00:00,9.9,0.0,0.0,1.411,14.2,1,2022-01-01,14,2022
2022-01-01 15:00:00,9.3,0.0,0.0,1.411,14.7,3,2022-01-01,15,2022
2022-01-01 16:00:00,8.9,0.0,0.0,1.411,16.2,3,2022-01-01,16,2022
2022-01-01 17:00:00,10.3,0.0,0.0,1.411,15.5,3,2022-01-01,17,2022
2022-01-01 18:00:00,11.1,0.0,0.0,1.411,15.3,3,2022-01-01,18,2022
2022-01-01 19:00:00,13.3,0.0,0.0,1.411,14.8,3,2022-01-01,19,2022
2022-01-01 20:00:00,13.9,0.0,0.0,1.411,14.7,3,2022-01-01,20,2022
2022-01-01 21:00:00,14.6,0.0,0.0,1.411,15.3,3,2022-01-01,21,2022
2022-01-01 22:00:00,15.7,0.0,0.0,1.411,16.0,3,2022-01-01,22,2022
2022-01-01 23:00:00,16.6,0.0,0.0,1.411,18.1,3,2022-01-01,23,2022
2022-01-02 00:00:00,17.5,0.0,0.0,1.411,19.2,3,2022-01-02,0,2022
2022-01-02 01:00:00,18.3,0.0,0.0,1.411,20.0,3,2022-01-02,1,2022
2022-01-02 02:00:00,19.0,0.0,0.0,1.411,20.1,3,2022-01-02,2,2022
2022-01-02 03:00:00,19.4,0.0,0.0,1.411,20.5,3,2022-01-02,3,2022
2022-01-02 04:00:00,17.4,0.0,0.0,1.411,22.6,3,2022-01-02,4,2022
2022-01-02 05:00:00,17.9,0.0,0.0,1.411,22.1,3,2022-01-02,5,2022
2022-01-02 06:00:00,18.3,0.0,0.0,1.411,21.2,3,2022-01-02,6,2022
2022-01-02 07:00:00,19.0,0.0,0.0,1.411,21.6,3,2022-01-02,7,2022
2022-01-02 08:00:00,19.7,0.0,0.0,1.411,21.0,3,2022-01-02,8,2022
2022-01-02 09:00:00,21.2,0.0,0.0,1.411,20.3,3,2022-01-02,9,2022
2022-01-02 10:00:00,22.7,0.0,0.0,1.411,19.8,3,2022-01-02,10,2022
2022-01-02 11:00:00,23.8,0.0,0.0,1.411,20.8,3,2022-01-02,11,2022
2022-01-02 12:00:00,25.0,0.0,0.0,1.411,19.7,3,2022-01-02,12,2022
2022-01-02 13:00:00,25.8,0.0,0.0,1.378,19.7,3,2022-01-02,13,2022
2022-01-02 14:00:00,26.3,0.0,0.0,1.378,20.7,3,2022-01-02,14,2022
2022-01-02 15:00:00,26.4,0.0,0.0,1.378,21.4,3,2022-01-02,15,2022
2022-01-02 16:00:00,22.6,0.0,0.0,1.378,22.2,1,2022-01-02,16,2022
2022-01-02 17:00:00,22.5,0.0,0.0,1.378,22.8,0,2022-01-02,17,2022
2022-01-02 18:00:00,22.8,0.0,0.0,1.378,24.1,0,2022-01-02,18,2022
2022-01-02 19:00:00,22.9,0.0,0.0,1.378,24.1,2,2022-01-02,19,2022
2022-01-02 20:00:00,23.5,0.0,0.0,1.378,24.3,2,2022-01-02,20,2022
2022-01-02 21:00:00,25.7,0.0,0.0,1.378,25.4,2,2022-01-02,21,2022
2022-01-02 22:00:00,26.0,0.0,0.0,1.378,27.6,3,2022-01-02,22,2022
2022-01-02 23:00:00,26.2,0.0,0.0,1.378,28.5,3,2022-01-02,23,2022
2022-01-03 00:00:00,26.9,0.0,0.0,1.378,27.4,3,2022-01-03,0,2022
2022-01-03 01:00:00,28.5,0.0,0.0,1.378,29.8,3,2022-01-03,1,2022
2022-01-03 02:00:00,29.7,0.0,0.0,1.378,31.2,3,2022-01-03,2,2022
2022-01-03 03:00:00,29.9,0.0,0.0,1.378,31.8,3,2022-01-03,3,2022
2022-01-03 04:00:00,29.7,0.039,0.276,1.378,29.2,73,2022-01-03,4,2022
2022-01-03 05:00:00,30.8,0.0,0.0,1.378,27.3,3,2022-01-03,5,2022
2022-01-03 06:00:00,31.0,0.0,0.0,1.378,28.9,3,2022-01-03,6,2022
2022-01-03 07:00:00,31.2,0.0,0.0,1.411,25.3,3,2022-01-03,7,2022
2022-01-03 08:00:00,31.6,0.0,0.0,1.411,24.9,3,2022-01-03,8,2022
2022-01-03 09:00:00,32.3,0.0,0.0,1.378,25.8,3,2022-01-03,9,2022
2022-01-03 10:00:00,33.2,0.0,0.0,1.378,23.4,3,2022-01-03,10,2022
2022-01-03 11:00:00,33.4,0.0,0.0,1.411,13.9,3,2022-01-03,11,2022
2022-01-03 12:00:00,31.8,0.008,0.055,1.411,7.5,71,2022-01-03,12,2022
2022-01-03 13:00:00,31.3,0.031,0.22,1.411,7.5,73,2022-01-03,13,2022
2022-01-03 14:00:00,31.8,0.043,0.303,1.411,8.7,73,2022-01-03,14,2022
2022-01-03 15:00:00,31.9,0.047,0.331,1.444,9.4,75,2022-01-03,15,2022
2022-01-03 16:00:00,31.9,0.035,0.248,1.444,11.4,73,2022-01-03,16,2022
2022-01-03 17:00:00,30.7,0.008,0.055,1.444,12.6,71,2022-01-03,17,2022
2022-01-03 18:00:00,30.7,0.024,0.165,1.444,12.1,73,2022-01-03,18,2022
2022-01-03 19:00:00,31.0,0.012,0.083,1.444,9.3,73,2022-01-03,19,2022
2022-01-03 20:00:00,28.3,0.0,0.0,1.444,8.7,3,2022-01-03,20,2022
2022-01-03 21:00:00,25.3,0.0,0.0,1.444,8.6,3,2022-01-03,21,2022
2022-01-03 22:00:00,29.0,0.0,0.0,1.444,11.8,3,2022-01-03,22,2022
2022-01-03 23:00:00,27.7,0.0,0.028,1.444,12.5,71,2022-01-03,23,2022
2022-01-04 00:00:00,27.1,0.0,0.0,1.476,10.8,3,2022-01-04,0,2022
2022-01-04 01:00:00,26.9,0.004,0.028,1.476,12.6,71,2022-01-04,1,2022
2022-01-04 02:00:00,27.0,0.0,0.0,1.476,11.8,3,2022-01-04,2,2022
2022-01-04 03:00:00,26.7,0.0,0.0,1.476,12.9,3,2022-01-04,3,2022
2022-01-04 04:00:00,26.3,0.043,0.303,1.476,12.8,73,2022-01-04,4,2022
2022-01-04 05:00:00,27.3,0.0,0.0,1.476,13.9,3,2022-01-04,5,2022
2022-01-04 06:00:00,25.7,0.0,0.0,1.476,11.1,3,2022-01-04,6,2022
2022-01-04 07:00:00,23.9,0.0,0.0,1.476,8.3,1,2022-01-04,7,2022
